SE No.,Book Title,Author,Publication Year,Original Language,Genre,No. of Words,Time,Reading Ease (no.),Reading Ease (Category),Translated By,Illustrated by,Part of a Series,Cover Page Artwork Adapted from,Cover Page Artwork Completed in,Cover Page Artist,Typefaces (on the cover and the title pages),Typefaces created by,Release Date and Time (on Standard Ebooks),Download (or Read Online)
0000043,Short Fiction,Arthur Machen,1894,English,"Fiction, Horror, Shorts","142,200",8 hours 38 minutes,73.41,Fairly easy,,,No,Idyll (Pan Amidst Columns),1875,Arnold Böcklin,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"September 20, 2015, 3:11 a.m.",Download
0000044,The Wind in the Willows,Kenneth Grahame,1908,English,"Children’s, Fiction","59,845",3 hours 38 minutes,77.27,Fairly easy,,,No,It Was the Water Rat,1913,Paul Bransom,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"October 30, 2015, 11:56 p.m.",Download
0000045,The Gods of Pegāna,Lord Dunsany,1905,English,Fantasy,"15,634",57 minutes,72.19,Fairly easy,,,No,"Battle of Lights, Coney Island",1913,Joseph Stella,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"November 2, 2015, 12:10 a.m.",Download
0000046,The Big Time,Fritz Leiber,1958,English,Science Fiction,"40,405",2 hours 27 minutes,75.54,Fairly easy,,,No,Creation of the World-V,1906,Mikalojus Konstantinas Čiurlionis,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"November 4, 2015, 11:25 p.m.",Download
0000047,Short Fiction,Algis Budrys,1953,English,"Science Fiction, Shorts","68,320",4 hours 9 minutes,75.71,Fairly easy,,,No,The Strengths of a Street,1911,Umberto Boccioni,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"November 7, 2015, 9:40 p.m.",Download
0000048,A Confession,Leo Tolstoy,1882,Russian,"Philosophy, Spirituality","25,993",1 hour 35 minutes,63.22,Average difficulty,Aylmer Maude,,No,Leo Tolstoy Barefoot,1901,Ilya Repin,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"November 26, 2015, 8:18 p.m.",Download
0000049,Short Fiction,Philip K. Dick,1952,English,"Science Fiction, Shorts","104,925",6 hours 22 minutes,79.67,Easy,,,No,Creation of the World-III,1905,Mikalojus Konstantinas Čiurlionis,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"November 27, 2015, 9:53 p.m.",Download
0000050,The Man Who Was Thursday,G. K. Chesterton,1908,English,Fiction,"58,405",3 hours 33 minutes,71.65,Fairly easy,,,No,Funeral of the Anarchist Galli,1911,Carlo Carrà,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"December 1, 2015, 12:01 a.m.",Download
0000051,The Last of the Mohicans,James Fenimore Cooper,1826,English,"Adventure, Fiction","147,105",8 hours 55 minutes,62.31,Average difficulty,,,Yes,Uncas Slays a Deer,1919,N. C. Wyeth,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"December 5, 2015, 3:18 a.m.",Download
0000052,Madame Bovary,Gustave Flaubert,1857,French,Fiction,"116,549",7 hours 4 minutes,69.82,Fairly easy,Eleanor Marx-Aveling,,No,Portrait of Lady Agnew of Lochnaw,1892,John Singer Sargent,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"December 23, 2015, 1:39 a.m.",Download
0000053,"Right Ho Jeeves",P. G. Wodehouse,1934,English,"Comedy, Fiction","75,459",4 hours 35 minutes,83.36,Easy,,,Yes,"View of Sir David Wilkie’s House in Vicarage Place, Kensington",1841,William Collins,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"January 5, 2016, 10:17 p.m.",Download
0000054,Space Viking,H. Beam Piper,1963,English,Science Fiction,"67,782",4 hours 7 minutes,73.78,Fairly easy,,,Yes,Sintesi plastica dei movimenti di una donna,1912,Luigi Russolo,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"January 7, 2016, 12:46 a.m.",Download
0000055,Don Quixote,Miguel de Cervantes Saavedra,1605,Spanish,Fiction,"426,870",25 hours 53 minutes,45.26,Difficult,John Ormsby,,No,Don Quixote and the Dead Mule,1864,Honoré Daumier,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"February 4, 2016, 11:57 p.m.",Download
0000056,Three Men in a Boat,Jerome K. Jerome,1889,English,"Comedy, Fiction, Travel","67,675",4 hours 7 minutes,75.95,Fairly easy,,,No,Next Morning Came a Clear Day-A Hot Day,1918,N. C. Wyeth,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"February 18, 2016, 10:59 p.m.",Download
0000057,The Luck of Barry Lyndon,William Makepeace Thackeray,1844,English,"Fiction, Satire","127,963",7 hours 46 minutes,59.57,Average difficulty,,,No,"Portrait of John Talbot, Later 1st Earl Talbot",1773,Pompeo Batoni,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"March 18, 2016, 10:30 p.m.",Download
0000058,The War of the Worlds,H. G. Wells,1898,English,Science Fiction,"60,557",3 hours 41 minutes,69.11,Fairly easy,,,No,The Great Fire of London,1601,Anonymous,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"March 29, 2016, 11:15 p.m.",Download
0000059,The Innocence of Father Brown,G. K. Chesterton,1911,English,"Fiction, Mystery, Shorts","79,917",4 hours 51 minutes,70.02,Fairly easy,,,Yes,"Marissal, Path to the Front of the Church",1866,Jean-Baptiste-Camille Corot,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"April 10, 2016, 9:05 p.m.",Download
0000060,Little Women,Louisa May Alcott,1868,English,Fiction,"190,769",11 hours 34 minutes,74.83,Fairly easy,,,Yes,They All Drew to the Fire,1915,Jessie Willcox Smith,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"May 6, 2016, 4:48 a.m.",Download
0000061,"The History of Rasselas Prince of Abyssinia",Samuel Johnson,1759,English,Satire,"37,929",2 hours 18 minutes,54.26,Fairly difficult,,,No,Leaving the Mosque,1900,Ludwig Deutsch,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"May 15, 2016, 5:08 a.m.",Download
0000062,The Art of Money Getting,P. T. Barnum,1880,English,Nonfiction,"13,611",50 minutes,64.44,Average difficulty,,,No,Brooklyn Bridge,1919,Joseph Stella,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"May 18, 2016, 11:21 p.m.",Download
0000063,The Jungle Book,Rudyard Kipling,1894,English,"Fiction, Shorts","51,562",3 hours 8 minutes,78.18,Fairly easy,,,No,The Day of Reckoning,1900,Cuthbert Edmund Swan,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"May 23, 2016, 2:27 a.m.",Download
0000064,Father Goriot,Honoré de Balzac,1834,French,Fiction,"104,066",6 hours 19 minutes,70.94,Fairly easy,Ellen Marriage,,Yes,Young Man at the Window,1875,Gustave Caillebotte,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"May 27, 2016, 5:06 a.m.",Download
0000065,The Insidious Dr. Fu-Manchu,Sax Rohmer,1913,English,"Fiction, Mystery","74,008",4 hours 30 minutes,73.88,Fairly easy,,,Yes,The General Mas Sou in the History Piece The Retreat of Kiai-Ting,1922,Alexandre Jacovleff,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"August 2, 2016, 11:16 p.m.",Download
0000066,Dialogues,Seneca,40,Latin,Philosophy,"225,947",13 hours 42 minutes,52.87,Fairly difficult,Aubrey Stewart,,No,The Roman Ruins in Schönbrunn,1832,Ferdinand Georg Waldmüller,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"August 3, 2016, 2:07 a.m.",Download
0000067,Cranford,Elizabeth Gaskell,1851,English,Fiction,"71,683",4 hours 21 minutes,63.53,Average difficulty,,,No,"Hollingbourne, Kent",1906,Helen Allingham,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"August 24, 2016, 7:59 p.m.",Download
0000068,The Mysterious Island,Jules Verne,1874,French,Fiction,"162,806",9 hours 53 minutes,70.43,Fairly easy,Stephen W. White,,Yes,The Discovery of the Chest,1920,N. C. Wyeth,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"August 29, 2016, 10:51 p.m.",Download
0000069,A Journal of the Plague Year,Daniel Defoe,1722,English,Nonfiction,"94,928",5 hours 46 minutes,42.11,Difficult,,,No,Self-Portrait with Death,1872,Arnold Böcklin,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"September 27, 2016, 10:35 p.m.",Download
0000070,The Secret Garden,Frances Hodgson Burnett,1910,English,"Children’s, Fiction","82,704",5 hours 1 minute,82.34,Easy,,,No,Daubigny’s Garden,1890,Vincent van Gogh,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"September 28, 2016, 3:11 p.m.",Download
0000071,His Masterpiece,Émile Zola,1885,French,Fiction,"146,102",8 hours 52 minutes,67.49,Average difficulty,Ernest Alfred Vizetelly,,Yes,Le Déjeuner sur l’herbe,1863,Édouard Manet,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"September 28, 2016, 7:24 p.m.",Download
0000072,The Moon Pool,A. Merritt,1919,English,Science Fiction,"98,717",5 hours 59 minutes,72.05,Fairly easy,,,No,Brook by Moonlight,1891,Ralph Albert Blakelock,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"September 30, 2016, 10:24 p.m.",Download
0000073,Suspiria de Profundis,Thomas De Quincey,1845,English,"Fiction, Shorts","57,876",3 hours 31 minutes,52.43,Fairly difficult,,,No,Such Stuff as Dreams Are Made On,1908,Edmund Dulac,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"October 27, 2016, 8:04 p.m.",Download
0000074,The Kingdom of God Is Within You,Leo Tolstoy,1894,Russian,"Nonfiction, Philosophy, Spirituality","122,928",7 hours 28 minutes,42.08,Difficult,Leo Wiener,,No,The Voyage of Life: Youth,1842,Thomas Cole,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"December 2, 2016, 10:34 p.m.",Download
0000075,The Autobiography of Benjamin Franklin,Benjamin Franklin,1793,English,"Autobiography, Nonfiction","64,800",3 hours 56 minutes,49.99,Fairly difficult,,,No,Portrait of Benjamin Franklin,1767,David Martin,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"December 11, 2016, 11:08 p.m.",Download
0000076,The Religion of Nature Delineated,William Wollaston,1722,English,"Nonfiction, Philosophy","91,804",5 hours 34 minutes,58.55,Fairly difficult,,,No,The Astronomer,1668,Johannes Vermeer,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"December 30, 2016, 6:18 a.m.",Download
0000077,A Voyage to Arcturus,David Lindsay,1920,English,"Fantasy, Philosophy","94,147",5 hours 43 minutes,76.11,Fairly easy,,,No,She Shall Be Called Woman,1880,George Frederic Watts,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"January 4, 2017, 9:54 p.m.",Download
0000078,The House on the Borderland,William Hope Hodgson,1908,English,"Horror, Science Fiction","51,020",3 hours 6 minutes,70.84,Fairly easy,,,No,The Castle at Roche-Guyon,1909,Georges Braque,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"January 12, 2017, 3:48 a.m.",Download
0000079,The Wood Beyond the World,William Morris,1894,English,Fantasy,"50,018",3 hours 2 minutes,74.56,Fairly easy,,,No,The Sun Is Passing the Sign of Virgo,1907,Mikalojus Konstantinas Čiurlionis,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"January 13, 2017, 11:00 p.m.",Download
0000080,The King in Yellow,Robert W. Chambers,1895,English,"Horror, Shorts","72,576",4 hours 24 minutes,71.55,Fairly easy,,,No,Andante,1908,Mikalojus Konstantinas Čiurlionis,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"January 19, 2017, 1:04 a.m.",Download
0000081,The Secret Agent,Joseph Conrad,1907,English,Fiction,"94,333",5 hours 44 minutes,64.81,Average difficulty,,,No,The Houses of Parliament (Effect of Fog),1904,Claude Monet,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"January 30, 2017, 1:07 a.m.",Download
0000082,The Lost Continent,C. J. Cutcliffe Hyne,1900,English,Fantasy,"97,814",5 hours 56 minutes,75.24,Fairly easy,,,No,Moonlight in the Bay of Douarnenez,1901,Maxime Maufra,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"February 6, 2017, 11:35 p.m.",Download
0000083,The Napoleon of Notting Hill,G. K. Chesterton,1904,English,Fiction,"55,410",3 hours 22 minutes,71.65,Fairly easy,,,No,The Bank,1887,William Logsdail,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"February 9, 2017, 6:15 a.m.",Download
0000084,The Princess and the Goblin,George MacDonald,1872,English,"Children’s, Fantasy","51,774",3 hours 9 minutes,79.7,Easy,,,No,The Fountain of Vaucluse,1841,Thomas Cole,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"February 19, 2017, 9:28 p.m.",Download
0000085,Khaled,F. Marion Crawford,1891,English,Fantasy,"61,771",3 hours 45 minutes,76.76,Fairly easy,,,No,A Bashi-Bazouk,1875,Charles Bargue,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"February 28, 2017, 8:25 p.m.",Download
0000086,Table-Talk,William Hazlitt,1821,English,Nonfiction,"152,892",9 hours 16 minutes,52.12,Fairly difficult,,,No,Blind Orion Searching for the Rising Sun,1658,Nicolas Poussin,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"March 8, 2017, 4:51 p.m.",Download
0000087,The Castle of Otranto,Horace Walpole,1764,English,Fiction,"37,052",2 hours 15 minutes,69.41,Fairly easy,,,No,Gothic Windows in the Ruins of the Monastery at Oybin,1828,Carl Gustav Carus,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"March 12, 2017, 8:37 p.m.",Download
0000088,The Secret Adversary,Agatha Christie,1922,English,"Fiction, Mystery","77,914",4 hours 44 minutes,78.14,Fairly easy,,,Yes,The Adriatic at Cherbourg,1908,Norman Wilkinson,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"March 15, 2017, 10:23 p.m.",Download
0000089,The Shaving of Shagpat,George Meredith,1856,English,Fantasy,"92,390",5 hours 36 minutes,71.38,Fairly easy,,,No,The Muezzin,1866,Jean-Léon Gérôme,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"March 16, 2017, 8:02 p.m.",Download
0000090,Armageddon 2419 A.D.,Philip Francis Nowlan,1928,English,Science Fiction,"27,335",1 hour 40 minutes,59.94,Average difficulty,,,No,Times Square,1910,Abraham Walkowitz,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"March 25, 2017, 1:06 a.m.",Download
0000091,The Gadfly,Ethel Voynich,1897,English,Fiction,"102,320",6 hours 13 minutes,72.56,Fairly easy,,,No,San Gimignano,1923,Elihu Vedder,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"March 26, 2017, 4:39 a.m.",Download
0000092,On Liberty,John Stuart Mill,1859,English,Philosophy,"50,946",3 hours 6 minutes,34.53,Very difficult,,,No,Liberty Leading the People,1830,Eugène Delacroix,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"March 31, 2017, 7:18 p.m.",Download
